1;Вопрос 1; Ответ 1; Ответ 2; Ответ 3; Ответ 4;4;
2;Вопрос 1; Ответ 1; Ответ 2; Ответ 3; Ответ 4;4;
3;Вопрос 1; Ответ 1; Ответ 2; Ответ 3; Ответ 4;4;
4;Вопрос 1; Ответ 1; Ответ 2; Ответ 3; Ответ 4;4;
5;Вопрос 1; Ответ 1; Ответ 2; Ответ 3; Ответ 4;4;
6;Вопрос 1; Ответ 1; Ответ 2; Ответ 3; Ответ 4;4;
7;Вопрос 1; Ответ 1; Ответ 2; Ответ 3; Ответ 4;4;
8;Вопрос 1; Ответ 1; Ответ 2; Ответ 3; Ответ 4;4;
9;Вопрос 1; Ответ 1; Ответ 2; Ответ 3; Ответ 4;4;
10;Вопрос 1; Ответ 1; Ответ 2; Ответ 3; Ответ 4;4;
11;Вопрос 1; Ответ 1; Ответ 2; Ответ 3; Ответ 4;4;
12;Вопрос 1; Ответ 1; Ответ 2; Ответ 3; Ответ 4;4;
13;Вопрос 1; Ответ 1; Ответ 2; Ответ 3; Ответ 4;4;
14;Вопрос 1; Ответ 1; Ответ 2; Ответ 3; Ответ 4;4;
15;Вопрос 1; Ответ 1; Ответ 2; Ответ 3; Ответ 4;4;
16;Вопрос 1; Ответ 1; Ответ 2; Ответ 3; Ответ 4;4;
17;Вопрос 1; Ответ 1; Ответ 2; Ответ 3; Ответ 4;4;
18;Вопрос 1; Ответ 1; Ответ 2; Ответ 3; Ответ 4;4;
19;Вопрос 1; Ответ 1; Ответ 2; Ответ 3; Ответ 4;4;